,episode,duration,G,loss,gamma,n_step,semi_gradient,alpha
0,19,197,196.0,0.11895963549613953,0.8,3,True,0.001
0,20,201,200.0,0.08735230565071106,0.8,3,True,0.001
0,21,145,144.0,0.04381151497364044,0.8,3,True,0.001
0,22,144,143.0,0.06958267837762833,0.8,3,True,0.001
0,23,198,197.0,0.026115642860531807,0.8,3,True,0.001
0,24,201,200.0,0.08026138693094254,0.8,3,True,0.001
0,25,166,165.0,0.0266975536942482,0.8,3,True,0.001
0,26,201,200.0,0.1526084542274475,0.8,3,True,0.001
0,27,144,143.0,0.16691794991493225,0.8,3,True,0.001
0,28,201,200.0,0.05266304314136505,0.8,3,True,0.001
0,29,201,200.0,0.029996592551469803,0.8,3,True,0.001
0,30,201,200.0,0.03919557109475136,0.8,3,True,0.001
0,31,201,200.0,0.024634744971990585,0.8,3,True,0.001
0,32,201,200.0,0.02593303844332695,0.8,3,True,0.001
0,33,168,167.0,0.17885959148406982,0.8,3,True,0.001
0,34,201,200.0,0.04713179171085358,0.8,3,True,0.001
0,35,201,200.0,0.061792872846126556,0.8,3,True,0.001
0,36,184,183.0,0.10100381076335907,0.8,3,True,0.001
0,37,201,200.0,0.1515505313873291,0.8,3,True,0.001
0,38,183,182.0,0.0204690620303154,0.8,3,True,0.001
0,39,182,181.0,0.014306198805570602,0.8,3,True,0.001
0,40,187,186.0,0.07171599566936493,0.8,3,True,0.001
0,41,184,183.0,0.039758361876010895,0.8,3,True,0.001
0,42,201,200.0,0.002245457610115409,0.8,3,True,0.001
0,43,201,200.0,0.2409895360469818,0.8,3,True,0.001
0,44,201,200.0,0.004199300426989794,0.8,3,True,0.001
0,45,201,200.0,0.01925026625394821,0.8,3,True,0.001
0,46,201,200.0,0.020161960273981094,0.8,3,True,0.001
0,47,186,185.0,0.018140092492103577,0.8,3,True,0.001
